Un_ID,Timepoint,Block_plot,Herbivory_trt,Coral_Id,Coral_Genus,Enrichment_trt,Size,Recruitment,Alive,Recruitment_timepoint
A4_1X1_P09,T6,A4,1X1,P09,Pocillopora,Ambient,6.007,0,1,T6
A4_1X1_P09,T3,A4,1X1,P09,Pocillopora,Ambient,2.974,1,1,T6
A4_1X1_P09,T9,A4,1X1,P09,Pocillopora,Ambient,8.796,0,1,T6
A4_2X2_P01,T6,A4,2X2,P01,Pocillopora,Ambient,3.934,0,1,T3
A4_2X2_P01,T0,A4,2X2,P01,Pocillopora,Ambient,NA,1,1,T3
A4_2X2_P01,T3,A4,2X2,P01,Pocillopora,Ambient,3.769,1,1,T3
A4_2X2_P01,T9,A4,2X2,P01,Pocillopora,Ambient,10.231,0,1,T3
A4_2X2_P11,T6,A4,2X2,P11,Pocillopora,Ambient,4.895,0,1,T3
A4_2X2_P11,T9,A4,2X2,P11,Pocillopora,Ambient,7.926,0,1,T3
A4_2X2_P11,T3,A4,2X2,P11,Pocillopora,Ambient,2.676,1,1,T3
A4_2X2_P12,T6,A4,2X2,P12,Pocillopora,Ambient,7.329,0,1,T0
A4_2X2_P12,T0,A4,2X2,P12,Pocillopora,Ambient,NA,1,1,T0
A4_2X2_P12,T9,A4,2X2,P12,Pocillopora,Ambient,9.333,0,1,T0
A4_2X2_P12,T3,A4,2X2,P12,Pocillopora,Ambient,2.563,0,1,T0
A4_2X2_P13,T3,A4,2X2,P13,Pocillopora,Ambient,1.951,1,1,T3
A4_2X2_P13,T6,A4,2X2,P13,Pocillopora,Ambient,4.732,0,1,T3
A4_2X2_P13,T9,A4,2X2,P13,Pocillopora,Ambient,5.423,0,1,T3
A4_2X2_P14,T3,A4,2X2,P14,Pocillopora,Ambient,2.022,1,1,T3
A4_2X2_P14,T6,A4,2X2,P14,Pocillopora,Ambient,1.703,0,1,T3
A4_2X2_P14,T9,A4,2X2,P14,Pocillopora,Ambient,4.489,0,1,T3
A4_2X2_P16,T6,A4,2X2,P16,Pocillopora,Ambient,1.932,1,1,T6
A4_2X2_P16,T9,A4,2X2,P16,Pocillopora,Ambient,NA,0,0,T6
A4_2X2_P02,T3,A4,2X2,P02,Pocillopora,Ambient,1.522,1,1,T3
A4_2X2_P02,T6,A4,2X2,P02,Pocillopora,Ambient,2.902,0,1,T3
A4_2X2_P02,T9,A4,2X2,P02,Pocillopora,Ambient,3.849,0,1,T3
A4_2X2_P03,T6,A4,2X2,P03,Pocillopora,Ambient,10.525,0,1,T0
A4_2X2_P03,T0,A4,2X2,P03,Pocillopora,Ambient,NA,1,1,T0
A4_2X2_P03,T9,A4,2X2,P03,Pocillopora,Ambient,13.822,0,1,T0
A4_2X2_P03,T3,A4,2X2,P03,Pocillopora,Ambient,5.556,0,1,T0
A4_2X2_P05,T3,A4,2X2,P05,Pocillopora,Ambient,3.313,1,1,T3
A4_2X2_P05,T6,A4,2X2,P05,Pocillopora,Ambient,5.692,0,1,T3
A4_2X2_P05,T9,A4,2X2,P05,Pocillopora,Ambient,8.18,0,1,T3
A4_2X2_P06,T3,A4,2X2,P06,Pocillopora,Ambient,6.78,0,1,T0
A4_2X2_P06,T6,A4,2X2,P06,Pocillopora,Ambient,11.391,0,1,T0
A4_2X2_P06,T0,A4,2X2,P06,Pocillopora,Ambient,NA,1,1,T0
A4_2X2_P06,T9,A4,2X2,P06,Pocillopora,Ambient,16.395,0,1,T0
A4_2X2_P09,T3,A4,2X2,P09,Pocillopora,Ambient,2.176,1,1,T3
A4_2X2_P09,T6,A4,2X2,P09,Pocillopora,Ambient,4.865,0,1,T3
A4_2X2_P09,T9,A4,2X2,P09,Pocillopora,Ambient,7.904,0,1,T3
A4_3X3_P01,T3,A4,3X3,P01,Pocillopora,Ambient,3.49,1,1,T0
A4_3X3_P01,T9,A4,3X3,P01,Pocillopora,Ambient,8.3,0,1,T0
A4_3X3_P01,T6,A4,3X3,P01,Pocillopora,Ambient,6.034,0,1,T0
A4_3X3_P14,T9,A4,3X3,P14,Pocillopora,Ambient,2.414,1,1,T9
A4_3X3_P15,T9,A4,3X3,P15,Pocillopora,Ambient,3.829,1,1,T9
A4_3X3_P16,T9,A4,3X3,P16,Pocillopora,Ambient,2.179,1,1,T9
A4_3X3_P04,T3,A4,3X3,P04,Pocillopora,Ambient,1.329,1,1,T3
A4_3X3_P04,T6,A4,3X3,P04,Pocillopora,Ambient,3.103,0,1,T3
A4_3X3_P04,T9,A4,3X3,P04,Pocillopora,Ambient,3.18,0,1,T3
