Un_ID,Timepoint,Un_id_tp,Block_plot,Herbivory_trt,Coral_Id,Coral_genus,Enrichment_trt,Recruitment,Alive,Notes1,Rec_timepoint
A3_3X3_P16,T9,A3_3X3_P16_T9,A3,3X3,P16,Pocillopora,Enriched,1,1,,T9
A3_3X3_P02,T6,A3_3X3_P2_T6,A3,3X3,P02,Pocillopora,Enriched,0,1,,T3
A3_3X3_P02,T3,A3_3X3_P2_T3,A3,3X3,P02,Pocillopora,Enriched,1,1,,T3
A3_3X3_P02,T9,A3_3X3_P2_T9,A3,3X3,P02,Pocillopora,Enriched,0,1,,T3
A3_3X3_P03,T6,A3_3X3_P3_T6,A3,3X3,P03,Pocillopora,Enriched,0,1,,T3
A3_3X3_P03,T3,A3_3X3_P3_T3,A3,3X3,P03,Pocillopora,Enriched,1,1,,T3
A3_3X3_P03,T9,A3_3X3_P3_T9,A3,3X3,P03,Pocillopora,Enriched,0,1,,T3
A3_3X3_P04,T6,A3_3X3_P4_T6,A3,3X3,P04,Pocillopora,Enriched,0,1,,T3
A3_3X3_P04,T3,A3_3X3_P4_T3,A3,3X3,P04,Pocillopora,Enriched,1,1,,T3
A3_3X3_P04,T9,A3_3X3_P4_T9,A3,3X3,P04,Pocillopora,Enriched,0,1,,T3
A3_3X3_P5A,T3,A3_3X3_P5A_T3,A3,3X3,P5A,Pocillopora,Enriched,1,1,,T3
A3_3X3_P5A,T9,A3_3X3_P5A_T9,A3,3X3,P5A,Pocillopora,Enriched,0,1,,T3
A3_3X3_P5A,T6,A3_3X3_P5A_T6,A3,3X3,P5A,Pocillopora,Enriched,0,1,,T3
A3_3X3_P5B,T3,A3_3X3_P5B_T3,A3,3X3,P5B,Pocillopora,Enriched,1,1,,T3
A3_3X3_P5B,T6,A3_3X3_P5B_T6,A3,3X3,P5B,Pocillopora,Enriched,0,1,,T3
A3_3X3_P5B,T9,A3_3X3_P5B_T9,A3,3X3,P5B,Pocillopora,Enriched,0,1,,T3
A3_3X3_P06,T6,A3_3X3_P6_T6,A3,3X3,P06,Pocillopora,Enriched,0,1,,T3
A3_3X3_P06,T3,A3_3X3_P6_T3,A3,3X3,P06,Pocillopora,Enriched,1,1,,T3
A3_3X3_P06,T9,A3_3X3_P6_T9,A3,3X3,P06,Pocillopora,Enriched,0,1,,T3
A3_3X3_P07,T3,A3_3X3_P7_T3,A3,3X3,P07,Pocillopora,Enriched,1,1,,T3
A3_3X3_P07,T6,A3_3X3_P7_T6,A3,3X3,P07,Pocillopora,Enriched,0,1,,T3
A3_3X3_P07,T9,A3_3X3_P7_T9,A3,3X3,P07,Pocillopora,Enriched,0,1,,T3
A3_3X3_P08,T3,A3_3X3_P8_T3,A3,3X3,P08,Pocillopora,Enriched,1,1,,T3
A3_3X3_P08,T9,A3_3X3_P8_T9,A3,3X3,P08,Pocillopora,Enriched,0,1,,T3
A3_3X3_P08,T6,A3_3X3_P8_T6,A3,3X3,P08,Pocillopora,Enriched,0,1,,T3
A3_3X3_P09,T9,A3_3X3_P9_T9,A3,3X3,P09,Pocillopora,Enriched,0,1,,T6
A3_3X3_P09,T6,A3_3X3_P9_T6,A3,3X3,P09,Pocillopora,Enriched,1,1,,T6
A3_open_P01,T6,A3_open_P1_T6,A3,open,P01,Pocillopora,Enriched,0,1,,T3
A3_open_P01,T9,A3_open_P1_T9,A3,open,P01,Pocillopora,Enriched,0,1,,T3
A3_open_P01,T3,A3_open_P1_T3,A3,open,P01,Pocillopora,Enriched,1,1,,T3
A3_open_P10,T9,A3_open_P10_T9,A3,open,P10,Pocillopora,Enriched,0,1,out of the photomosaic,T6
A3_open_P10,T6,A3_open_P10_T6,A3,open,P10,Pocillopora,Enriched,1,1,,T6
A3_open_P11,T6,A3_open_P11_T6,A3,open,P11,Pocillopora,Enriched,1,1,,T6
A3_open_P11,T9,A3_open_P11_T9,A3,open,P11,Pocillopora,Enriched,0,1,,T6
A3_open_P13,T6,A3_open_P13_T6,A3,open,P13,Pocillopora,Enriched,1,1,,T6
A3_open_P13,T9,A3_open_P13_T9,A3,open,P13,Pocillopora,Enriched,0,1,,T6
A3_open_P14,T9,A3_open_P14_T9,A3,open,P14,Pocillopora,Enriched,0,1,,T6
